"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","HMDB0007752","53478505",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](CO)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","HMDB0007779","53478530",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](CO)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z)/0:0)","DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z)/0:0)","HMDB0007780","53478531",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@@H](CO)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(14:0/P-16:0)","PC(14:0/P-16:0)","HMDB0007895","53478615","C00157","CCCCCCCCCCCCCC/C=C\OC(COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PE(15:0/P-18:0)","PE(15:0/P-18:0)","HMDB0008917","53479584","C00350","CCCCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCCCCCCCCC)COP(=O)(O)OCCN","1"
"PC(P-16:0/14:0)","PC(P-16:0/14:0)","HMDB0011203","52923874",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC","1"
"PE(P-18:0/15:0)","PE(P-18:0/15:0)","HMDB0011370","52925071",NA,"CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCC","1"
"PC(o-14:0/16:1(9Z))","PC(o-14:0/16:1(9Z))","HMDB0013402","24779277",NA,"CCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PC(o-16:0/14:1(9Z))","PC(o-16:0/14:1(9Z))","HMDB0013403","52923736",NA,"CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCC","1"
"PC(o-14:0/16:0)","PC(o-14:0/16:0)","HMDB0013341","24779275",NA,"CCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"DG(22:2(13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","DG(22:2(13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","HMDB0007672","9543967",NA,"CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(22:4(7Z,10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","DG(22:4(7Z,10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","HMDB0007698","9543963",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](CO)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z)/0:0)","DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z)/0:0)","HMDB0007784","53478535",NA,"CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PE(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))","PE(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))","HMDB0009215","53479707","C00350","CCCCCC/C=C\CCCCCCCC/C=C\O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN","1"
"PE(18:4(6Z,9Z,12Z,15Z)/P-18:1(9Z))","PE(18:4(6Z,9Z,12Z,15Z)/P-18:1(9Z))","HMDB0009216","53479708","C00350","CCCCCCCC/C=C\CCCCCC/C=C\O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN","1"
"PE(20:5(5Z,8Z,11Z,14Z,17Z)/P-16:0)","PE(20:5(5Z,8Z,11Z,14Z,17Z)/P-16:0)","HMDB0009477","53479839","C00350","CCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN","1"
"PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB0011354","52925061",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PE(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))","PE(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))","HMDB0011412","53480872",NA,"CCCCCC/C=C\CCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PE(P-18:1(9Z)/18:4(6Z,9Z,12Z,15Z))","PE(P-18:1(9Z)/18:4(6Z,9Z,12Z,15Z))","HMDB0011445","53480901",NA,"CCCCCCCC/C=C\CCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PS(14:0/18:2(9Z,12Z))","PS(14:0/18:2(9Z,12Z))","HMDB0012336","52926034",NA,"CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"PS(14:1(9Z)/18:1(9Z))","PS(14:1(9Z)/18:1(9Z))","HMDB0012346","52925230",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)(O)OC[C@@H](C(=O)O)N","1"
"PS(16:1(9Z)/16:1(9Z))","PS(16:1(9Z)/16:1(9Z))","HMDB0012366","52926071",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PS(18:1(9Z)/14:1(9Z))","PS(18:1(9Z)/14:1(9Z))","HMDB0012386","52925434",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCC/C=C\CCCC","1"
"PS(18:2(9Z,12Z)/14:0)","PS(18:2(9Z,12Z)/14:0)","HMDB0012396","52925452",NA,"CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@@H](C(=O)O)N","1"
"PC(15:0/P-18:0)","PC(15:0/P-18:0)","HMDB0007962","53478663","C00157","CCCCCCCCCCCCCCCC/C=C\OC(COC(=O)CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PE(18:0/P-18:0)","PE(18:0/P-18:0)","HMDB0009016","53479615","C00350","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C\CCCCCCCCCCCCCCCC","1"
"PE(20:0/P-16:0)","PE(20:0/P-16:0)","HMDB0009246","53479714","C00350","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C\CCCCCCCCCCCCCC","1"
"PC(P-18:0/15:0)","PC(P-18:0/15:0)","HMDB0011238","52923930",NA,"CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC","1"
"PE(P-16:0/20:0)","PE(P-16:0/20:0)","HMDB0011347","52925057",NA,"CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCC)COP(=O)(O)OCCN","1"
"PE(dm18:0/18:0)","PE(dm18:0/18:0)","HMDB11373","52925078",NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCCCC)COP(=O)(O)OCCN","1"
