ionIdx,ionMz,average intensity,mz difference,id,score,formula,ion,name
39,102.0557863,240059.1213,0.000262205,HMDB01906,100,C4H9NO2,-H(+),2-Aminoisobutyric acid
39,102.0557863,240059.1213,0.000262205,HMDB02166,100,C4H9NO2,-H(+),(S)-b-aminoisobutyric acid
39,102.0557863,240059.1213,0.000262205,HMDB02299,100,C4H9NO2,-H(+),(R)-b-aminoisobutyric acid
39,102.0557863,240059.1213,0.000262205,HMDB03911,100,C4H9NO2,-H(+),3-Aminoisobutanoic acid
40,103.0397398,3686.724438,0.000324295,HMDB00008,100,C4H8O3,-H(+),2-Hydroxybutyric acid
40,103.0397398,3686.724438,0.000324295,HMDB00011,100,C4H8O3,-H(+),(R)-3-Hydroxybutyric acid
40,103.0397398,3686.724438,0.000324295,HMDB00023,100,C4H8O3,-H(+),(S)-3-Hydroxyisobutyric acid
40,103.0397398,3686.724438,0.000324295,HMDB00336,100,C4H8O3,-H(+),(R)-3-Hydroxyisobutyric acid
40,103.0397398,3686.724438,0.000324295,HMDB00357,100,C4H8O3,-H(+),3-Hydroxybutyric acid
40,103.0397398,3686.724438,0.000324295,HMDB00442,100,C4H8O3,-H(+),(S)-3-Hydroxybutyric acid
40,103.0397398,3686.724438,0.000324295,HMDB00710,100,C4H8O3,-H(+),4-Hydroxybutyric acid
40,103.0397398,3686.724438,0.000324295,HMDB00729,100,C4H8O3,-H(+),Alpha-Hydroxyisobutyric acid
41,104.0349518,20427.86134,0.000361299,HMDB00187,100,C3H7NO3,-H(+),L-Serine
41,104.0349518,20427.86134,0.000361299,HMDB03406,100,C3H7NO3,-H(+),D-Serine
42,105.0190538,3637.831736,0.000274865,HMDB00139,100,C3H6O4,-H(+),Glyceric acid
42,105.0190538,3637.831736,0.000274865,HMDB06372,100,C3H6O4,-H(+),L-Glyceric acid
43,107.0497736,9507.884345,0.000461315,HMDB01858,100,C7H8O,-H(+),p-Cresol
43,107.0497736,9507.884345,0.000461315,HMDB02048,100,C7H8O,-H(+),m-Cresol
43,107.0497736,9507.884345,0.000461315,HMDB02055,100,C7H8O,-H(+),o-Cresol
43,107.0497736,9507.884345,0.000461315,HMDB03119,100,C7H8O,-H(+),Benzyl alcohol
44,108.0120957,4193.146715,0.000373789,HMDB00965,100,C2H7NO2S,-H(+),Hypotaurine
45,108.0449773,8617.110008,0.000506535,HMDB01169,100,C6H7NO,-H(+),4-Aminophenol
46,109.0290705,9577.753666,0.000428951,HMDB00957,100,C6H6O2,-H(+),Pyrocatechol
46,109.0290705,9577.753666,0.000428951,HMDB02434,100,C6H6O2,-H(+),Hydroquinone
47,109.0405059,9211.043011,0.000226929,HMDB03905,100,C5H6N2O,-H(+),Imidazole-4-acetaldehyde
48,109.0653601,3634.552455,0.000619425,HMDB03156,40,C4H10O2,+F(-),"2,3-Butanediol"
49,110.0243968,15060.2484,0.000351628,HMDB04230,100,C5H5NO2,-H(+),Pyrrole-2-carboxylic acid
50,110.0719926,4222.395327,0.000374721,HMDB00870,100,C5H9N3,-H(+),Histamine
51,111.0085931,65132.1378,0.000170936,HMDB00444,100,C5H4O3,-H(+),3-Furoic acid
51,111.0085931,65132.1378,0.000170936,HMDB00617,100,C5H4O3,-H(+),2-Furoic acid
52,111.0195601,22826.69522,0.000437232,HMDB00300,100,C4H4N2O2,-H(+),Uracil
