"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB00498","4-deoxy-erythronic acid","HMDB00498","250402","86347",NA,NA,"CC(O)C(O)C(=O)O","1"
"HMDB02453","4-Deoxythreonic acid","HMDB0002453","10964471","86391",NA,"6686","C[C@@H](O)[C@H](O)C(O)=O","1"
"HMDB02601","A,b-Dihydroxyisobutyric acid","HMDB0002601","560781","36532",NA,"6723","CC(O)(CO)C(=O)O","1"
"HMDB02649","Threose","HMDB0002649","5460672","23956","C01796","289","C1[C@H]([C@H](C(O1)O)O)O","1"
"HMDB06293","L-Erythrulose","HMDB0006293","5460032","27913","C02045",NA,"OC[C@H](O)C(=O)CO","1"
"HMDB01366","Purine","HMDB0001366","1044","17258","C15587","6193","N1C=NC2=C1C=NC=N2","1"
"HMDB04072","4-Hydroxystyrene","HMDB0004072","62453","1883","C05627","7012","OC1=CC=C(C=C)C=C1","1"
"HMDB06236","Phenylacetaldehyde","HMDB0006236","998","16424","C00601",NA,"O=CCC1=CC=CC=C1","1"
"HMDB00574","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"HMDB03417","D-Cysteine","HMDB0003417","92851","16375","C00793",NA,"N[C@H](CS)C(O)=O","1"
"HMDB04461","Benzamide","HMDB0004461","2331","28179","C09815",NA,"NC(=O)C1=CC=CC=C1","1"
"HMDB01870","Benzoic acid","HMDB0001870","243","30746","C00539","1297","OC(=O)C1=CC=CC=C1","1"
"HMDB11718","4-Hydroxybenzaldehyde","HMDB0011718","126","17597","C00633",NA,"OC1=CC=C(C=O)C=C1","1"
"HMDB01488","Nicotinic acid","HMDB0001488","938","15940","C00253","6272","OC(=O)C1=CN=CC=C1","1"
"HMDB02243","Picolinic acid","HMDB0002243","1018","28747","C10164",NA,"OC(=O)C1=CC=CC=N1","1"
"HMDB00873","4-Methylcatechol","HMDB0000873","9958","17254","C06730","5834","CC1=CC(O)=C(O)C=C1","1"
"HMDB01398","o-Methoxyphenol","HMDB0001398","4671","28591","C15572","6217","COC1=CC=CC=C1O","1"
"HMDB11724","4-Hydroxybenzyl alcohol","HMDB0011724","125","67410","C17467",NA,"OCC1=CC=C(O)C=C1","1"
"HMDB04181","Methylimidazole acetaldehyde","HMDB0004181","193545","28104","C05827",NA,"CN1C=NC(CC=O)=C1","1"
"HMDB00251","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"HMDB03903","2-Hydroxyethanesulfonate","HMDB0003903","7866","1157","C05123","6987","OCCS(O)(=O)=O","1"
"HMDB12228","Ethylphosphate","HMDB0012228","74190","42383",NA,NA,"CCOP(O)(O)=O","1"
"HMDB00262","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"HMDB02024","Imidazoleacetic acid","HMDB0002024","96215","16974","C02835","6445","OC(=O)CC1=CN=CN1","1"
"HMDB02128","2,4-Diamino-6-hydroxypyrimidine","HMDB0002128","2944","804916",NA,"6500","NC1=CC(=O)N=C(N)N1","1"
"HMDB03192","5-Aminoimidazole-4-carboxamide","HMDB0003192","9679","2030","C04051","629","NC(=O)C1=C(N)N=CN1","1"
"HMDB01084","D-1-Piperideine-2-carboxylic acid","HMDB0001084","1194","30912","C04092","5992","OC(=O)C1=NCCCC1","1"
"HMDB12130","(S)-2,3,4,5-Tetrahydropiperidine-2-carboxylate","HMDB0012130","24771808","49014","C00450",NA,"OC(=O)[C@@H]1CCCC=N1","1"
"HMDB00079","Dihydrothymine","HMDB0000079","93556","27468","C00906","5135","CC1CNC(=O)NC1=O","1"
"HMDB00267","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"HMDB00805","Pyrrolidonecarboxylic acid","HMDB0000805","499","16924","C02237","5769","OC(=O)C1CCC(=O)N1","1"
"HMDB01369","Pyrroline hydroxycarboxylic acid","HMDB0001369","1059","27391","C04281","6196","OC1CC(N=C1)C(O)=O","1"
"HMDB01843","N-Acryloylglycine","HMDB0001843","100321",NA,NA,"6343","OC(=O)CNC(=O)C=C","1"
"HMDB02234","1-Pyrroline-4-hydroxy-2-carboxylate","HMDB0002234","440282","16352","C04282","6564","OC1CN=C(C1)C(O)=O","1"
"HMDB00620","Glutaconic acid","HMDB0000620","5280498","15670","C02214","5593","O=C(O)/C=C/CC(=O)O","1"
"HMDB00634","Citraconic acid","HMDB0000634","643798","17626","C02226","5607","C/C(=C/C(=O)O)/C(=O)O","1"
"HMDB00749","Mesaconic acid","HMDB0000749","643798","16600","C01732","4130","C/C(=C\C(=O)O)/C(=O)O","1"
"HMDB02092","Itaconic acid","HMDB0002092","811","30838","C00490","6483","C=C(CC(=O)O)C(=O)O","1"
"HMDB13233","Gamma-delta-Dioxovaleric acid","HMDB0013233","119412","17204","C02800",NA,"OC(=O)CCC(=O)C=O","1"
"HMDB00408","2-Methyl-3-ketovaleric acid","HMDB0000408","189028","86365",NA,"5397","CCC(=O)C(C)C(O)=O","1"
"HMDB00491","3S-methyl-2-oxo-pentanoic acid","HMDB00491","440877","28379","C06008",NA,"CC(C)C(=O)C(=O)O","1"
"HMDB00695","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"HMDB01864","2-Ketohexanoic acid","HMDB0001864","159664","17308","C00902","4144","CCCCC(=O)C(=O)O","1"
"HMDB06024","Mevalonolactone","HMDB0006024","5325923",NA,NA,NA,"C[C@]1(O)CCOC(=O)C1","1"
"HMDB10717","3-Oxohexanoic acid","HMDB0010717","439658","28422","C02122",NA,"CCCC(=O)CC(=O)O","1"
"HMDB12882","Adipate semialdehyde","HMDB0012882","440918","2490","C06102",NA,"C(CCC(=O)O)CC=O","1"
"HMDB00666","Heptanoic acid","HMDB0000666","8094","45571","C17714","5636","CCCCCCC(=O)O","1"
"HMDB02064","N-Acetylputrescine","HMDB0002064","122356","17768","C02714","3252","CC(=O)NCCCCN","1"
"HMDB00725","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"HMDB00766","N-Acetyl-L-alanine","HMDB0000766","88064","40992",NA,"5733","C[C@H](NC(C)=O)C(O)=O","1"
"HMDB00783","Propionylglycine","HMDB0000783","98681","89836",NA,"5749","CCC(=O)NCC(O)=O","1"
"HMDB01149","5-Aminolevulinic acid","HMDB0001149","137","17549","C00430","6037","NCC(=O)CCC(=O)O","1"
"HMDB02104","L-Glutamic gamma-semialdehyde","HMDB0002104","193305","17232","C01165","6488","N[C@@H](CCC=O)C(O)=O","1"
"HMDB02113","3-Hydroxy-L-proline","HMDB0002113","11137200","87840","C04397","6494","O[C@H]1CCN[C@H]1C(O)=O","1"
"HMDB06055","4-Hydroxy-L-proline","HMDB0006055","69248","18240","C01015",NA,"C1[C@H](NCC1O)C(=O)O","1"
"HMDB06272","5-Amino-2-oxopentanoic acid","HMDB0006272","439402","49268","C01110",NA,"NCCCC(=O)C(=O)O","1"
"HMDB00172","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"HMDB00557","L-Alloisoleucine","HMDB0000557","99288","43433",NA,NA,"CC[C@@H](C)[C@H](N)C(O)=O","1"
"HMDB00687","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"HMDB01645","L-Norleucine","HMDB0001645","21236","18347","C01933","6334","CCCC[C@@H](C(=O)O)N","1"
"HMDB01901","Aminocaproic acid","HMDB0001901","564","16586","C02378",NA,"C(CCC(=O)O)CCN","1"
"HMDB03640","Beta-Leucine","HMDB0003640","439734","86261","C02486",NA,"CC(C)[C@@H](N)CC(O)=O","1"
"HMDB00576","Monoethyl malonic acid","HMDB0000576","70615",NA,NA,"5558","CCOC(=O)CC(O)=O","1"
"HMDB00622","Ethylmalonic acid","HMDB0000622","11756","741548",NA,"4180","CCC(C(=O)O)C(=O)O","1"
"HMDB00661","Glutaric acid","HMDB0000661","743","17859","C00489","3254","OC(=O)CCCC(O)=O","1"
"HMDB01844","Methylsuccinic acid","HMDB0001844","10349","29003","C08645","6344","CC(CC(=O)O)C(=O)O","1"
"HMDB02001","Dimethylmalonic acid","HMDB0002001","11686","111517",NA,"6425","CC(C)(C(=O)O)C(=O)O","1"
"HMDB06833","2-Acetolactate","HMDB0006833","22","16444","C00900",NA,"CC(=O)C(C)(O)C(=O)O","1"
"HMDB06855","(S)-2-Acetolactate","HMDB0006855","440878","18409","C06010",NA,"CC(=O)[C@@](C)(C(=O)O)O","1"
"HMDB00026","Ureidopropionic acid","HMDB0000026","111","18261","C02642","5097","NC(=O)NCCC(O)=O","1"
