,T_AKAP9,T_AKT3,T_ALDH2,T_APC,T_ARID1A,T_ATM,T_ATP2B3,T_AXIN2,T_BCL9L,T_BCR,T_BIRC3,T_BIRC6,T_BLM,T_BRAF,T_CDH1,T_CDH10,T_CDKN2A,T_CLTCL1,T_CNOT3,T_CREB3L2,T_CREBBP,T_CRNKL1,T_CSMD3,T_CTNNA2,T_CTNND1,T_CTNND2,T_CYP2C8,T_DAXX,T_DNM2,T_EIF3E,T_EP300,T_EZH2,T_EZR,T_FAM131B,T_FAT3,T_FBXW7,T_FES,T_FKBP9,T_HEY1,T_HLA-A,T_HOOK3,T_HOXA13,T_HOXA9,T_IL21R,T_KAT6B,T_KIF5B,T_KLF6,T_KMT2A,T_KMT2C,T_KRAS,T_LARP4B,T_LEF1,T_LMNA,T_LRIG3,T_LRP1B,T_MACC1,T_MAML2,T_MAP3K1,T_MLH1,T_MSH6,T_NAB2,T_NBEA,T_NCOA2,T_NCOR2,T_NF1,T_NKX2-1,T_NOTCH2,T_NTRK1,T_NTRK3,T_PALB2,T_PAX3,T_PBX1,T_PDE4DIP,T_PHOX2B,T_PIK3CA,T_PREX2,T_PRPF40B,T_PTK6,T_PTPRB,T_PTPRC,T_PWWP2A,T_RALGDS,T_RANBP2,T_RECQL4,T_RNF213,T_RNF43,T_RPL5,T_RSPO2,T_RUNX1T1,T_SETDB1,T_SLC45A3,T_SMAD4,T_STIL,T_TBX3,T_TEC,T_TNC,T_TP53,T_TPR,T_TRIP11,T_USP6,T_ZBTB16,T_ZFHX3,T_ZMYM2,T_ZNF384
11,-1.171,-1.244,1.171,-1.271,-0.385,1.036,0.07200000000000001,0.28600000000000003,-2.2569999999999997,0.28600000000000003,0.28600000000000003,-2.2569999999999997,0.07200000000000001,-1.739,-2.2569999999999997,-1.038,-1.797,0.28600000000000003,0.07200000000000001,-2.35,0.353,-1.271,-0.555,0.28600000000000003,0.07200000000000001,-1.244,-1.244,1.171,1.171,0.28600000000000003,-1.739,-2.2569999999999997,-1.244,1.8769999999999998,0.28600000000000003,1.8769999999999998,1.171,-1.244,1.8769999999999998,-1.244,-1.244,-2.2569999999999997,0.28600000000000003,-2.2569999999999997,0.28600000000000003,1.8769999999999998,-1.244,1.8769999999999998,-0.555,1.035,-2.2569999999999997,-1.271,0.28600000000000003,0.07200000000000001,0.353,0.07200000000000001,0.353,-0.7490000000000001,0.28600000000000003,-1.271,0.28600000000000003,-1.271,-1.271,-1.271,0.28600000000000003,0.353,0.07200000000000001,1.171,-1.271,0.28600000000000003,0.07200000000000001,0.28600000000000003,0.358,-2.2569999999999997,-1.244,-0.544,-2.2569999999999997,-1.244,-1.271,-2.2569999999999997,1.171,-1.244,1.702,-0.9009999999999999,1.171,0.098,-1.244,0.353,0.353,1.171,-1.739,0.7070000000000001,1.171,0.28600000000000003,-2.2569999999999997,0.28600000000000003,-1.103,-1.244,-2.2569999999999997,-1.739,0.353,-0.52,0.28600000000000003,1.171
12,-1.7209999999999999,-1.495,1.7209999999999999,0.18600000000000003,-0.815,0.544,-0.213,-0.067,-1.632,-0.067,-0.067,-1.632,-0.213,0.6729999999999999,-1.632,-0.06,-0.831,-0.067,-0.213,0.657,-0.752,0.18600000000000003,0.059000000000000004,-0.067,-0.213,-1.495,-1.495,1.7209999999999999,1.7209999999999999,-0.067,0.6729999999999999,-1.632,-1.495,1.126,-0.067,1.126,1.7209999999999999,-1.495,1.126,-1.495,-1.495,-1.632,-0.067,-1.632,-0.067,1.126,-1.495,1.126,0.059000000000000004,0.348,-1.632,0.18600000000000003,-0.067,-0.213,-0.752,-0.213,-0.752,0.9470000000000001,-0.067,0.18600000000000003,-0.067,0.18600000000000003,0.18600000000000003,0.18600000000000003,-0.067,-0.752,-0.213,1.7209999999999999,0.18600000000000003,-0.067,-0.213,-0.067,0.887,-1.632,-1.495,-1.5590000000000002,-1.632,-1.495,0.18600000000000003,-1.632,1.7209999999999999,-1.495,0.28,1.325,1.7209999999999999,1.3840000000000001,-1.495,-0.752,-0.752,1.7209999999999999,0.6729999999999999,-0.584,1.7209999999999999,-0.067,-1.632,-0.067,0.258,-1.495,-1.632,0.6729999999999999,-0.752,1.645,-0.067,1.7209999999999999
13,1.235,-0.264,-1.235,-2.365,1.714,-1.9880000000000002,1.51,2.184,3.353,2.184,2.184,3.353,1.51,0.8270000000000001,3.353,-0.516,-1.9369999999999998,2.184,1.51,-1.1159999999999999,-1.5230000000000001,-2.365,0.542,2.184,1.51,-0.264,-0.264,-1.235,-1.235,2.184,0.8270000000000001,3.353,-0.264,0.373,2.184,0.373,-1.235,-0.264,0.373,-0.264,-0.264,3.353,2.184,3.353,2.184,0.373,-0.264,0.373,0.542,-0.235,3.353,-2.365,2.184,1.51,-1.5230000000000001,1.51,-1.5230000000000001,-0.588,2.184,-2.365,2.184,-2.365,-2.365,-2.365,2.184,-1.5230000000000001,1.51,-1.235,-2.365,2.184,1.51,2.184,3.577,3.353,-0.264,-1.318,3.353,-0.264,-2.365,3.353,-1.235,-0.264,-0.8640000000000001,0.33799999999999997,-1.235,0.919,-0.264,-1.5230000000000001,-1.5230000000000001,-1.235,0.8270000000000001,-0.866,-1.235,2.184,3.353,2.184,2.016,-0.264,3.353,0.8270000000000001,-1.5230000000000001,-0.183,2.184,-1.235
14,-0.40299999999999997,-0.5820000000000001,0.40299999999999997,-1.359,-2.222,-0.836,0.17800000000000002,-2.228,5.9879999999999995,-2.228,-2.228,5.9879999999999995,0.17800000000000002,-1.0270000000000001,5.9879999999999995,-1.943,-1.412,-2.228,0.17800000000000002,-1.848,-1.48,-1.359,-3.188,-2.228,0.17800000000000002,-0.5820000000000001,-0.5820000000000001,0.40299999999999997,0.40299999999999997,-2.228,-1.0270000000000001,5.9879999999999995,-0.5820000000000001,22.519000000000002,-2.228,22.519000000000002,0.40299999999999997,-0.5820000000000001,22.519000000000002,-0.5820000000000001,-0.5820000000000001,5.9879999999999995,-2.228,5.9879999999999995,-2.228,22.519000000000002,-0.5820000000000001,22.519000000000002,-3.188,1.315,5.9879999999999995,-1.359,-2.228,0.17800000000000002,-1.48,0.17800000000000002,-1.48,-4.907,-2.228,-1.359,-2.228,-1.359,-1.359,-1.359,-2.228,-1.48,0.17800000000000002,0.40299999999999997,-1.359,-2.228,0.17800000000000002,-2.228,2.209,5.9879999999999995,-0.5820000000000001,-1.5030000000000001,5.9879999999999995,-0.5820000000000001,-1.359,5.9879999999999995,0.40299999999999997,-0.5820000000000001,5.808,-3.258,0.40299999999999997,6.4639999999999995,-0.5820000000000001,-1.48,-1.48,0.40299999999999997,-1.0270000000000001,4.029,0.40299999999999997,-2.228,5.9879999999999995,-2.228,1.146,-0.5820000000000001,5.9879999999999995,-1.0270000000000001,-1.48,-0.504,-2.228,0.40299999999999997
15,4.0360000000000005,3.571,-4.0360000000000005,0.805,4.717,-2.826,0.34600000000000003,2.983,7.601,2.983,2.983,7.601,0.34600000000000003,0.447,7.601,0.044000000000000004,2.926,2.983,0.34600000000000003,0.9590000000000001,-0.389,0.805,3.534,2.983,0.34600000000000003,3.571,3.571,-4.0360000000000005,-4.0360000000000005,2.983,0.447,7.601,3.571,-1.555,2.983,-1.555,-4.0360000000000005,3.571,-1.555,3.571,3.571,7.601,2.983,7.601,2.983,-1.555,3.571,-1.555,3.534,2.374,7.601,0.805,2.983,0.34600000000000003,-0.389,0.34600000000000003,-0.389,1.157,2.983,0.805,2.983,0.805,0.805,0.805,2.983,-0.389,0.34600000000000003,-4.0360000000000005,0.805,2.983,0.34600000000000003,2.983,2.006,7.601,3.571,1.9080000000000001,7.601,3.571,0.805,7.601,-4.0360000000000005,3.571,-1.4880000000000002,1.3019999999999998,-4.0360000000000005,-0.83,3.571,-0.389,-0.389,-4.0360000000000005,0.447,0.598,-4.0360000000000005,2.983,7.601,2.983,5.287999999999999,3.571,7.601,0.447,-0.389,-2.108,2.983,-4.0360000000000005
16,-3.085,-2.093,3.085,0.365,-0.62,0.405,-0.862,0.489,2.562,0.489,0.489,2.562,-0.862,-0.33,2.562,-1.807,-1.067,0.489,-0.862,0.027000000000000003,-2.042,0.365,0.7170000000000001,0.489,-0.862,-2.093,-2.093,3.085,3.085,0.489,-0.33,2.562,-2.093,0.995,0.489,0.995,3.085,-2.093,0.995,-2.093,-2.093,2.562,0.489,2.562,0.489,0.995,-2.093,0.995,0.7170000000000001,0.066,2.562,0.365,0.489,-0.862,-2.042,-0.862,-2.042,0.8220000000000001,0.489,0.365,0.489,0.365,0.365,0.365,0.489,-2.042,-0.862,3.085,0.365,0.489,-0.862,0.489,0.36700000000000005,2.562,-2.093,-3.013,2.562,-2.093,0.365,2.562,3.085,-2.093,-0.762,1.973,3.085,0.504,-2.093,-2.042,-2.042,3.085,-0.33,-1.798,3.085,0.489,2.562,0.489,-0.496,-2.093,2.562,-0.33,-2.042,1.683,0.489,3.085
17,-1.881,-3.375,1.881,-1.419,-0.8959999999999999,-0.22,1.3,0.825,6.704,0.825,0.825,6.704,1.3,1.9509999999999998,6.704,0.005,-3.3569999999999998,0.825,1.3,0.382,-1.944,-1.419,-0.13,0.825,1.3,-3.375,-3.375,1.881,1.881,0.825,1.9509999999999998,6.704,-3.375,0.971,0.825,0.971,1.881,-3.375,0.971,-3.375,-3.375,6.704,0.825,6.704,0.825,0.971,-3.375,0.971,-0.13,-0.863,6.704,-1.419,0.825,1.3,-1.944,1.3,-1.944,0.902,0.825,-1.419,0.825,-1.419,-1.419,-1.419,0.825,-1.944,1.3,1.881,-1.419,0.825,1.3,0.825,3.28,6.704,-3.375,-3.843,6.704,-3.375,-1.419,6.704,1.881,-3.375,-0.711,1.994,1.881,2.269,-3.375,-1.944,-1.944,1.881,1.9509999999999998,-2.418,1.881,0.825,6.704,0.825,0.68,-3.375,6.704,1.9509999999999998,-1.944,2.785,0.825,1.881
18,0.705,2.787,-0.705,-0.369,1.585,-1.581,-1.9909999999999999,0.239,6.99,0.239,0.239,6.99,-1.9909999999999999,6.921,6.99,3.127,1.48,0.239,-1.9909999999999999,4.217,-1.4709999999999999,-0.369,-0.013000000000000001,0.239,-1.9909999999999999,2.787,2.787,-0.705,-0.705,0.239,6.921,6.99,2.787,-3.136,0.239,-3.136,-0.705,2.787,-3.136,2.787,2.787,6.99,0.239,6.99,0.239,-3.136,2.787,-3.136,-0.013000000000000001,-3.6830000000000003,6.99,-0.369,0.239,-1.9909999999999999,-1.4709999999999999,-1.9909999999999999,-1.4709999999999999,2.093,0.239,-0.369,0.239,-0.369,-0.369,-0.369,0.239,-1.4709999999999999,-1.9909999999999999,-0.705,-0.369,0.239,-1.9909999999999999,0.239,0.59,6.99,2.787,0.6459999999999999,6.99,2.787,-0.369,6.99,-0.705,2.787,-3.6639999999999997,2.887,-0.705,1.834,2.787,-1.4709999999999999,-1.4709999999999999,-0.705,6.921,-1.334,-0.705,0.239,6.99,0.239,1.9180000000000001,2.787,6.99,6.921,-1.4709999999999999,3.888,0.239,-0.705
19,0.539,5.922999999999999,-0.539,-3.071,1.696,0.7,-4.985,-0.927,-1.159,-0.927,-0.927,-1.159,-4.985,1.6019999999999999,-1.159,2.359,0.991,-0.927,-4.985,-1.001,1.415,-3.071,-2.972,-0.927,-4.985,5.922999999999999,5.922999999999999,-0.539,-0.539,-0.927,1.6019999999999999,-1.159,5.922999999999999,1.102,-0.927,1.102,-0.539,5.922999999999999,1.102,5.922999999999999,5.922999999999999,-1.159,-0.927,-1.159,-0.927,1.102,5.922999999999999,1.102,-2.972,-1.3419999999999999,-1.159,-3.071,-0.927,-4.985,1.415,-4.985,1.415,-1.105,-0.927,-3.071,-0.927,-3.071,-3.071,-3.071,-0.927,1.415,-4.985,-0.539,-3.071,-0.927,-4.985,-0.927,-1.425,-1.159,5.922999999999999,4.9030000000000005,-1.159,5.922999999999999,-3.071,-1.159,-0.539,5.922999999999999,1.953,-1.8769999999999998,-0.539,2.101,5.922999999999999,1.415,1.415,-0.539,1.6019999999999999,4.962,-0.539,-0.927,-1.159,-0.927,-0.6940000000000001,5.922999999999999,-1.159,1.6019999999999999,1.415,0.835,-0.927,-0.539
20,1.321,0.6759999999999999,-1.321,0.5770000000000001,1.4909999999999999,-1.48,0.632,1.3230000000000002,-0.758,1.3230000000000002,1.3230000000000002,-0.758,0.632,0.518,-0.758,-0.213,0.882,1.3230000000000002,0.632,0.838,-0.799,0.5770000000000001,1.679,1.3230000000000002,0.632,0.6759999999999999,0.6759999999999999,-1.321,-1.321,1.3230000000000002,0.518,-0.758,0.6759999999999999,-1.595,1.3230000000000002,-1.595,-1.321,0.6759999999999999,-1.595,0.6759999999999999,0.6759999999999999,-0.758,1.3230000000000002,-0.758,1.3230000000000002,-1.595,0.6759999999999999,-1.595,1.679,0.096,-0.758,0.5770000000000001,1.3230000000000002,0.632,-0.799,0.632,-0.799,0.682,1.3230000000000002,0.5770000000000001,1.3230000000000002,0.5770000000000001,0.5770000000000001,0.5770000000000001,1.3230000000000002,-0.799,0.632,-1.321,0.5770000000000001,1.3230000000000002,0.632,1.3230000000000002,0.833,-0.758,0.6759999999999999,-0.156,-0.758,0.6759999999999999,0.5770000000000001,-0.758,-1.321,0.6759999999999999,-1.849,1.104,-1.321,-0.805,0.6759999999999999,-0.799,-0.799,-1.321,0.518,-1.137,-1.321,1.3230000000000002,-0.758,1.3230000000000002,1.671,0.6759999999999999,-0.758,0.518,-0.799,-0.469,1.3230000000000002,-1.321
