,T_AKAP9,T_AMER1,T_APC,T_ARID2,T_BCOR,T_BMP5,T_CACNA1D,T_CARD11,T_CHD2,T_CLP1,T_CREBBP,T_CRNKL1,T_CSMD3,T_DCTN1,T_DDX10,T_DNMT3A,T_EGFR,T_ELN,T_EP300,T_FANCA,T_HIST1H3B,T_KAT6B,T_KMT2C,T_KMT2D,T_LARP4B,T_MACC1,T_MAP3K1,T_MTOR,T_MUTYH,T_NACA,T_NBN,T_NCOR2,T_NSD1,T_PCM1,T_PDE4DIP,T_PIK3R1,T_PML,T_PTEN,T_PTPN13,T_RB1,T_RECQL4,T_STAG2,T_TAF15,T_VTI1A
21,5.4,2.401,2.6060000000000003,-5.4,5.4,5.4,2.6060000000000003,2.6060000000000003,5.4,5.4,-5.4,-5.4,-0.929,-5.4,-5.4,2.401,2.401,-5.4,-5.4,5.4,5.4,2.401,2.401,2.401,-5.4,-5.4,5.4,2.6060000000000003,5.4,5.4,2.6060000000000003,5.4,2.6060000000000003,2.401,5.4,-5.4,-5.4,5.4,-5.4,2.6060000000000003,5.4,2.6060000000000003,5.4,2.401
22,0.955,0.6679999999999999,0.797,-0.955,0.955,0.955,0.797,0.797,0.955,0.955,-0.955,-0.955,1.07,-0.955,-0.955,0.6679999999999999,0.6679999999999999,-0.955,-0.955,0.955,0.955,0.6679999999999999,0.6679999999999999,0.6679999999999999,-0.955,-0.955,0.955,0.797,0.955,0.955,0.797,0.955,0.797,0.6679999999999999,0.955,-0.955,-0.955,0.955,-0.955,0.797,0.955,0.797,0.955,0.6679999999999999
23,11.679,1.671,2.6319999999999997,-11.679,11.679,11.679,2.6319999999999997,2.6319999999999997,11.679,11.679,-11.679,-11.679,0.715,-11.679,-11.679,1.671,1.671,-11.679,-11.679,11.679,11.679,1.671,1.671,1.671,-11.679,-11.679,11.679,2.6319999999999997,11.679,11.679,2.6319999999999997,11.679,2.6319999999999997,1.671,11.679,-11.679,-11.679,11.679,-11.679,2.6319999999999997,11.679,2.6319999999999997,11.679,1.671
24,0.826,0.586,-0.545,-0.826,0.826,0.826,-0.545,-0.545,0.826,0.826,-0.826,-0.826,-3.978,-0.826,-0.826,0.586,0.586,-0.826,-0.826,0.826,0.826,0.586,0.586,0.586,-0.826,-0.826,0.826,-0.545,0.826,0.826,-0.545,0.826,-0.545,0.586,0.826,-0.826,-0.826,0.826,-0.826,-0.545,0.826,-0.545,0.826,0.586
25,1.5590000000000002,1.2109999999999999,2.154,-1.5590000000000002,1.5590000000000002,1.5590000000000002,2.154,2.154,1.5590000000000002,1.5590000000000002,-1.5590000000000002,-1.5590000000000002,1.001,-1.5590000000000002,-1.5590000000000002,1.2109999999999999,1.2109999999999999,-1.5590000000000002,-1.5590000000000002,1.5590000000000002,1.5590000000000002,1.2109999999999999,1.2109999999999999,1.2109999999999999,-1.5590000000000002,-1.5590000000000002,1.5590000000000002,2.154,1.5590000000000002,1.5590000000000002,2.154,1.5590000000000002,2.154,1.2109999999999999,1.5590000000000002,-1.5590000000000002,-1.5590000000000002,1.5590000000000002,-1.5590000000000002,2.154,1.5590000000000002,2.154,1.5590000000000002,1.2109999999999999
26,11.606,-2.126,1.304,-11.606,11.606,11.606,1.304,1.304,11.606,11.606,-11.606,-11.606,-1.272,-11.606,-11.606,-2.126,-2.126,-11.606,-11.606,11.606,11.606,-2.126,-2.126,-2.126,-11.606,-11.606,11.606,1.304,11.606,11.606,1.304,11.606,1.304,-2.126,11.606,-11.606,-11.606,11.606,-11.606,1.304,11.606,1.304,11.606,-2.126
27,0.485,0.9940000000000001,2.687,-0.485,0.485,0.485,2.687,2.687,0.485,0.485,-0.485,-0.485,-1.626,-0.485,-0.485,0.9940000000000001,0.9940000000000001,-0.485,-0.485,0.485,0.485,0.9940000000000001,0.9940000000000001,0.9940000000000001,-0.485,-0.485,0.485,2.687,0.485,0.485,2.687,0.485,2.687,0.9940000000000001,0.485,-0.485,-0.485,0.485,-0.485,2.687,0.485,2.687,0.485,0.9940000000000001
28,0.983,1.128,-0.688,-0.983,0.983,0.983,-0.688,-0.688,0.983,0.983,-0.983,-0.983,0.672,-0.983,-0.983,1.128,1.128,-0.983,-0.983,0.983,0.983,1.128,1.128,1.128,-0.983,-0.983,0.983,-0.688,0.983,0.983,-0.688,0.983,-0.688,1.128,0.983,-0.983,-0.983,0.983,-0.983,-0.688,0.983,-0.688,0.983,1.128
29,0.596,-0.629,-0.494,-0.596,0.596,0.596,-0.494,-0.494,0.596,0.596,-0.596,-0.596,-2.182,-0.596,-0.596,-0.629,-0.629,-0.596,-0.596,0.596,0.596,-0.629,-0.629,-0.629,-0.596,-0.596,0.596,-0.494,0.596,0.596,-0.494,0.596,-0.494,-0.629,0.596,-0.596,-0.596,0.596,-0.596,-0.494,0.596,-0.494,0.596,-0.629
30,0.852,1.099,-1.214,-0.852,0.852,0.852,-1.214,-1.214,0.852,0.852,-0.852,-0.852,1.166,-0.852,-0.852,1.099,1.099,-0.852,-0.852,0.852,0.852,1.099,1.099,1.099,-0.852,-0.852,0.852,-1.214,0.852,0.852,-1.214,0.852,-1.214,1.099,0.852,-0.852,-0.852,0.852,-0.852,-1.214,0.852,-1.214,0.852,1.099
31,-0.525,-0.596,1.7730000000000001,0.525,-0.525,-0.525,1.7730000000000001,1.7730000000000001,-0.525,-0.525,0.525,0.525,2.99,0.525,0.525,-0.596,-0.596,0.525,0.525,-0.525,-0.525,-0.596,-0.596,-0.596,0.525,0.525,-0.525,1.7730000000000001,-0.525,-0.525,1.7730000000000001,-0.525,1.7730000000000001,-0.596,-0.525,0.525,0.525,-0.525,0.525,1.7730000000000001,-0.525,1.7730000000000001,-0.525,-0.596
32,1.704,0.414,1.66,-1.704,1.704,1.704,1.66,1.66,1.704,1.704,-1.704,-1.704,2.307,-1.704,-1.704,0.414,0.414,-1.704,-1.704,1.704,1.704,0.414,0.414,0.414,-1.704,-1.704,1.704,1.66,1.704,1.704,1.66,1.704,1.66,0.414,1.704,-1.704,-1.704,1.704,-1.704,1.66,1.704,1.66,1.704,0.414
33,2.637,-0.27899999999999997,-1.6680000000000001,-2.637,2.637,2.637,-1.6680000000000001,-1.6680000000000001,2.637,2.637,-2.637,-2.637,-1.889,-2.637,-2.637,-0.27899999999999997,-0.27899999999999997,-2.637,-2.637,2.637,2.637,-0.27899999999999997,-0.27899999999999997,-0.27899999999999997,-2.637,-2.637,2.637,-1.6680000000000001,2.637,2.637,-1.6680000000000001,2.637,-1.6680000000000001,-0.27899999999999997,2.637,-2.637,-2.637,2.637,-2.637,-1.6680000000000001,2.637,-1.6680000000000001,2.637,-0.27899999999999997
34,3.1180000000000003,-0.961,1.311,-3.1180000000000003,3.1180000000000003,3.1180000000000003,1.311,1.311,3.1180000000000003,3.1180000000000003,-3.1180000000000003,-3.1180000000000003,-2.478,-3.1180000000000003,-3.1180000000000003,-0.961,-0.961,-3.1180000000000003,-3.1180000000000003,3.1180000000000003,3.1180000000000003,-0.961,-0.961,-0.961,-3.1180000000000003,-3.1180000000000003,3.1180000000000003,1.311,3.1180000000000003,3.1180000000000003,1.311,3.1180000000000003,1.311,-0.961,3.1180000000000003,-3.1180000000000003,-3.1180000000000003,3.1180000000000003,-3.1180000000000003,1.311,3.1180000000000003,1.311,3.1180000000000003,-0.961
35,5.178,2.676,-3.029,-5.178,5.178,5.178,-3.029,-3.029,5.178,5.178,-5.178,-5.178,-2.102,-5.178,-5.178,2.676,2.676,-5.178,-5.178,5.178,5.178,2.676,2.676,2.676,-5.178,-5.178,5.178,-3.029,5.178,5.178,-3.029,5.178,-3.029,2.676,5.178,-5.178,-5.178,5.178,-5.178,-3.029,5.178,-3.029,5.178,2.676
36,1.749,0.821,1.226,-1.749,1.749,1.749,1.226,1.226,1.749,1.749,-1.749,-1.749,0.569,-1.749,-1.749,0.821,0.821,-1.749,-1.749,1.749,1.749,0.821,0.821,0.821,-1.749,-1.749,1.749,1.226,1.749,1.749,1.226,1.749,1.226,0.821,1.749,-1.749,-1.749,1.749,-1.749,1.226,1.749,1.226,1.749,0.821
37,8.047,1.3619999999999999,0.0,-8.047,8.047,8.047,0.0,0.0,8.047,8.047,-8.047,-8.047,0.076,-8.047,-8.047,1.3619999999999999,1.3619999999999999,-8.047,-8.047,8.047,8.047,1.3619999999999999,1.3619999999999999,1.3619999999999999,-8.047,-8.047,8.047,0.0,8.047,8.047,0.0,8.047,0.0,1.3619999999999999,8.047,-8.047,-8.047,8.047,-8.047,0.0,8.047,0.0,8.047,1.3619999999999999
38,0.599,1.2,1.7169999999999999,-0.599,0.599,0.599,1.7169999999999999,1.7169999999999999,0.599,0.599,-0.599,-0.599,-1.557,-0.599,-0.599,1.2,1.2,-0.599,-0.599,0.599,0.599,1.2,1.2,1.2,-0.599,-0.599,0.599,1.7169999999999999,0.599,0.599,1.7169999999999999,0.599,1.7169999999999999,1.2,0.599,-0.599,-0.599,0.599,-0.599,1.7169999999999999,0.599,1.7169999999999999,0.599,1.2
39,0.53,2.908,-0.449,-0.53,0.53,0.53,-0.449,-0.449,0.53,0.53,-0.53,-0.53,-2.867,-0.53,-0.53,2.908,2.908,-0.53,-0.53,0.53,0.53,2.908,2.908,2.908,-0.53,-0.53,0.53,-0.449,0.53,0.53,-0.449,0.53,-0.449,2.908,0.53,-0.53,-0.53,0.53,-0.53,-0.449,0.53,-0.449,0.53,2.908
40,1.5290000000000001,0.223,1.0959999999999999,-1.5290000000000001,1.5290000000000001,1.5290000000000001,1.0959999999999999,1.0959999999999999,1.5290000000000001,1.5290000000000001,-1.5290000000000001,-1.5290000000000001,-2.863,-1.5290000000000001,-1.5290000000000001,0.223,0.223,-1.5290000000000001,-1.5290000000000001,1.5290000000000001,1.5290000000000001,0.223,0.223,0.223,-1.5290000000000001,-1.5290000000000001,1.5290000000000001,1.0959999999999999,1.5290000000000001,1.5290000000000001,1.0959999999999999,1.5290000000000001,1.0959999999999999,0.223,1.5290000000000001,-1.5290000000000001,-1.5290000000000001,1.5290000000000001,-1.5290000000000001,1.0959999999999999,1.5290000000000001,1.0959999999999999,1.5290000000000001,0.223
41,14.8,0.126,-1.3459999999999999,-14.8,14.8,14.8,-1.3459999999999999,-1.3459999999999999,14.8,14.8,-14.8,-14.8,-2.372,-14.8,-14.8,0.126,0.126,-14.8,-14.8,14.8,14.8,0.126,0.126,0.126,-14.8,-14.8,14.8,-1.3459999999999999,14.8,14.8,-1.3459999999999999,14.8,-1.3459999999999999,0.126,14.8,-14.8,-14.8,14.8,-14.8,-1.3459999999999999,14.8,-1.3459999999999999,14.8,0.126
42,1.994,1.705,-3.9410000000000003,-1.994,1.994,1.994,-3.9410000000000003,-3.9410000000000003,1.994,1.994,-1.994,-1.994,-0.63,-1.994,-1.994,1.705,1.705,-1.994,-1.994,1.994,1.994,1.705,1.705,1.705,-1.994,-1.994,1.994,-3.9410000000000003,1.994,1.994,-3.9410000000000003,1.994,-3.9410000000000003,1.705,1.994,-1.994,-1.994,1.994,-1.994,-3.9410000000000003,1.994,-3.9410000000000003,1.994,1.705
43,2.425,3.108,2.122,-2.425,2.425,2.425,2.122,2.122,2.425,2.425,-2.425,-2.425,4.285,-2.425,-2.425,3.108,3.108,-2.425,-2.425,2.425,2.425,3.108,3.108,3.108,-2.425,-2.425,2.425,2.122,2.425,2.425,2.122,2.425,2.122,3.108,2.425,-2.425,-2.425,2.425,-2.425,2.122,2.425,2.122,2.425,3.108
