"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"DG(15:0/14:1(9Z)/0:0)","DG(15:0/14:1(9Z)/0:0)","HMDB0007067","53478002",NA,"CCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCC","1"
"PC(14:0/P-16:0)","PC(14:0/P-16:0)","HMDB0007895","53478615","C00157","CCCCCCCCCCCCCC/C=C\OC(COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PE(15:0/P-18:0)","PE(15:0/P-18:0)","HMDB0008917","53479584","C00350","CCCCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCCCCCCCCC)COP(=O)(O)OCCN","1"
"PC(P-16:0/14:0)","PC(P-16:0/14:0)","HMDB0011203","52923874",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC","1"
"PE(P-18:0/15:0)","PE(P-18:0/15:0)","HMDB0011370","52925071",NA,"CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCC","1"
"PC(o-14:0/16:1(9Z))","PC(o-14:0/16:1(9Z))","HMDB0013402","24779277",NA,"CCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PC(o-16:0/14:1(9Z))","PC(o-16:0/14:1(9Z))","HMDB0013403","52923736",NA,"CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCC","1"
"PC(15:0/18:2(9Z,12Z))","PC(15:0/18:2(9Z,12Z))","HMDB0007940","24778664","C00157","CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"PC(18:2(9Z,12Z)/15:0)","PC(18:2(9Z,12Z)/15:0)","HMDB0008132","52922715","C00157","CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PE(14:0/22:2(13Z,16Z))","PE(14:0/22:2(13Z,16Z))","HMDB0008843","52924125","C00350","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC","1"
"PE(14:1(9Z)/22:1(13Z))","PE(14:1(9Z)/22:1(13Z))","HMDB0008875","53479566","C00350","CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)(O)OCCN","1"
"PE(16:0/20:2(11Z,14Z))","PE(16:0/20:2(11Z,14Z))","HMDB0008934","52924213","C00350","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC","1"
"PE(16:1(9Z)/20:1(11Z))","PE(16:1(9Z)/20:1(11Z))","HMDB0008966","52924233","C00350","CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
"PE(18:0/18:2(9Z,12Z))","PE(18:0/18:2(9Z,12Z))","HMDB0008994","9546749","C00350","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"PE(18:1(11Z)/18:1(11Z))","PE(18:1(11Z)/18:1(11Z))","HMDB0009025","53479624","C00350","CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCC/C=C\CCCCCC","1"
"PE(18:1(11Z)/18:1(9Z))","PE(18:1(11Z)/18:1(9Z))","HMDB0009026","53479625","C00350","CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
