"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"PC(22:1(13Z)/20:5(5Z,8Z,11Z,14Z,17Z))","PC(22:1(13Z)/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB0008576","53479201","C00157","CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(22:2(13Z,16Z)/20:4(5Z,8Z,11Z,14Z))","PC(22:2(13Z,16Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0008607","52923593","C00157","CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(22:2(13Z,16Z)/20:4(8Z,11Z,14Z,17Z))","PC(22:2(13Z,16Z)/20:4(8Z,11Z,14Z,17Z))","HMDB0008608","53479231","C00157","CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z))","PC(22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z))","HMDB0008637","52923651","C00157","CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:1(11Z))","PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:1(11Z))","HMDB0008669","53479301","C00157","CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:1(11Z))","PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:1(11Z))","HMDB0008702","53479367","C00157","CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:0)","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:0)","HMDB0008734","52923707","C00157","CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PG(16:0/18:3(6Z,9Z,12Z))","PG(16:0/18:3(6Z,9Z,12Z))","HMDB0010576","52927171",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(16:0/18:3(9Z,12Z,15Z))","PG(16:0/18:3(9Z,12Z,15Z))","HMDB0010577","52927236",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC","1"
"PG(16:1(9Z)/18:2(9Z,12Z))","PG(16:1(9Z)/18:2(9Z,12Z))","HMDB0010590","52927166",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"PG(18:2(9Z,12Z)/16:1(9Z))","PG(18:2(9Z,12Z)/16:1(9Z))","HMDB0010646","52926611",NA,"CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@H](CO)O","1"
